# E			DOS_ED
-16.49			3.63041910866561E-4
-16.372352941176	3.68774949870285E-4
-16.254705882353	3.74583356660926E-4
-16.137058823529	3.80490059433073E-4
-16.019411764706	3.86589028278243E-4
-15.901764705882	3.92937411153207E-4
-15.784117647059	3.99550365718447E-4
-15.666470588235	4.06361285201241E-4
-15.548823529412	4.13204682433519E-4
-15.431176470588	4.20088353599554E-4
-15.313529411765	4.27233289122808E-4
-15.195882352941	4.34785956264109E-4
-15.078235294118	4.42774554776858E-4
-14.960588235294	4.5102805249349E-4
-14.842941176471	4.59169136053541E-4
-14.725294117647	4.67239341214006E-4
-14.607647058824	4.7572065783858E-4
-14.49			4.84905816490021E-4
-14.372352941176	4.94816293511475E-4
-14.254705882353	5.05027882095687E-4
-14.137058823529	5.14801072313194E-4
-14.019411764706	5.24386244686837E-4
-13.901764705882	5.34738428243228E-4
-13.784117647059	5.46353947564062E-4
-13.666470588235	5.59158041728792E-4
-13.548823529412	5.72121347313162E-4
-13.431176470588	5.84014318370524E-4
-13.313529411765	5.95824671252968E-4
-13.195882352941	6.09335924600127E-4
-13.078235294118	6.25298230607608E-4
-12.960588235294	6.43121600732102E-4
-12.842941176471	6.60068723146268E-4
-12.725294117647	6.74523881289416E-4
-12.607647058824	6.89745058123349E-4
-12.49			7.08973221527741E-4
-12.372352941176	7.32556108896037E-4
-12.254705882353	7.56640673922712E-4
-12.137058823529	7.75662425220468E-4
-12.019411764706	7.92812912686105E-4
-11.901764705882	8.15537174030527E-4
-11.784117647059	8.46031631983766E-4
-11.666470588235	8.78315155926054E-4
-11.548823529412	9.01024218926373E-4
-11.4311764705882	9.16694412511571E-4
-11.3135294117647	9.38418358198663E-4
-11.1958823529412	9.71243768222696E-4
-11.0782352941176	0.00100855679483005
-10.9605882352941	0.00103608114022839
-10.8429411764706	0.00105520961251087
-10.7252941176471	0.00108178063319593
-10.6076470588235	0.00112309936067751
-10.49			0.00117286350404969
-10.3723529411765	0.00121271242008407
-10.2547058823529	0.0012398474432741
-10.1370588235294	0.00127505359032653
-10.0194117647059	0.00133048536489553
-9.9017647058824	0.00139762141300681
-9.7841176470588	0.00144841614575591
-9.6664705882353	0.00147663511485259
-9.5488235294118	0.00151252133926115
-9.4311764705882	0.00157423511774592
-9.3135294117647	0.00165212008998736
-9.1958823529412	0.00171542441235111
-9.0782352941176	0.00176056431894098
-8.9605882352941	0.00182154680373681
-8.8429411764706	0.0019161608847484
-8.7252941176471	0.00202713094764036
-8.6076470588235	0.00211460432737498
-8.49			0.00218527123990995
-8.3723529411765	0.00228722538654474
-8.2547058823529	0.00243873068607764
-8.1370588235294	0.00260690293326818
-8.0194117647059	0.00273969853720678
-7.9017647058824	0.0028681355705328
-7.7841176470588	0.00306093572784695
-7.6664705882353	0.00331666064259048
-7.5488235294118	0.00354848400145408
-7.4311764705882	0.00372482917840968
-7.3135294117647	0.00395783451768677
-7.1958823529412	0.0043184675503075
-7.0782352941176	0.00473392071109088
-6.9605882352941	0.00508804536463186
-6.8429411764706	0.0054792323607159
-6.7252941176471	0.00605206695881681
-6.6076470588235	0.00669175100937259
-6.49			0.00718965479837594
-6.3723529411765	0.0077334111824275
-6.2547058823529	0.00860032508880312
-6.1370588235294	0.00964069709034251
-6.0194117647059	0.0105116890030065
-5.9017647058824	0.0114689190955295
-5.7841176470588	0.0128947760602419
-5.6664705882353	0.0144949727355948
-5.5488235294118	0.0160749780521226
-5.4311764705882	0.0182390281423915
-5.3135294117647	0.0209122349009432
-5.1958823529412	0.0231937194726166
-5.0782352941176	0.0255524338204998
-4.9605882352941	0.0284917151293882
-4.8429411764706	0.0305078062084444
-4.7252941176471	0.0316035670545367
-4.6076470588235	0.0335905122307656
-4.49			0.0362726559978609
-4.3723529411765	0.0395996938578322
-4.2547058823529	0.0446470831900239
-4.1370588235294	0.0502531107282667
-4.0194117647059	0.0555398772711635
-3.9017647058824	0.0600780474669107
-3.7841176470588	0.0610692407950883
-3.6664705882353	0.06018587377477
-3.5488235294118	0.0596083993574057
-3.4311764705882	0.0590923339305109
-3.3135294117647	0.0600404803488047
-3.1958823529412	0.0612815014721725
-3.0782352941176	0.0614071412916505
-2.9605882352941	0.0604679124726214
-2.8429411764706	0.0591147442520038
-2.7252941176471	0.0597272885915741
-2.6076470588235	0.0632402203611459
-2.49			0.0667827588760465
-2.37235294117647	0.0650837959833169
-2.25470588235294	0.0603109629529269
-2.13705882352941	0.0574843795279325
-2.01941176470588	0.057020331938211
-1.90176470588235	0.0584008068196244
-1.78411764705882	0.0625006674058698
-1.66647058823529	0.0697704033419513
-1.54882352941176	0.0776547876457393
-1.43117647058824	0.0836696385554671
-1.31352941176471	0.0921765201015598
-1.19588235294118	0.109476894243425
-1.07823529411765	0.139274673104899
-0.96058823529412	0.175385363646831
-0.84294117647059	0.194917836151173
-0.72529411764706	0.188392420664762
-0.60764705882353	0.17136280402812
-0.49			0.145724503069005
-0.3723529411765	0.115365312207283
-0.2547058823529	0.0916291630817253
-0.1370588235294	0.077804747668827
-0.0194117647059	0.0725755423594589
0.0982352941175999	0.0749603871548146
0.2158823529412	0.0855891180182079
0.3335294117647	0.106715190553767
0.4511764705882	0.140149327898647
0.5688235294118	0.177698865700414
0.6864705882353	0.190646012240649
0.8041176470588	0.165372468421531
0.9217647058824	0.129865293522063
1.0394117647059	0.105478434011106
1.1570588235294	0.0953382559842718
1.2747058823529	0.0976770740535286
1.3923529411765	0.109577241183887
1.51		0.12408530500432
1.6276470588235	0.128235784155041
1.7452941176471	0.116263703105806
