
U = 0.0
16 -24
15 -24
14 -24

U = 1.0
16 -20.793636812914
15 -21.090010870862
14 -21.392837152777

U = 2.0
16 -18.017571724201
15 -18.585053013847
14 -19.17135228761

U = 3.0
16 -15.636660730384
15 -16.453638281239
14 -17.300033492353

U = 4.0
16 -13.621854821163
15 -14.66523927747
14 -15.744588411404

U = 5.0
16 -11.940536345868
15 -13.183909441869
14 -14.465814594343

U = 6.0
16 -10.552217991568
15 -11.967002676881
14 -13.421234307102

U = 7.0
16 -9.4104806888045
15 -10.969051610814
14 -12.568402500927

U = 8.0
16 -8.4688750141969
15 -10.147243896023
14 -11.868835569564

U = 9.0
16 -7.686240387211
15 -9.4650150569772
14 -11.290270121244

U = 10.0
16 -7.0290044593965
15 -8.8930141300838
14 -10.807011689932

U = 11.0
16 -6.4710031111876
15 -8.408433281113
14 -10.399161185525

U = 12.0
16 -5.9922233967046
15 -7.993768633921
14 -10.051479837437



